What is the title of Chapter 3?,The Cultural Debt.
What is the stated purpose of Chapter 3?,To expose the hidden behavioral forces that eat strategy for breakfast.
"According to the chapter outline, what is the first major topic covered?",The Psychology of Control.
What is the second major topic covered in the chapter outline?,The Leadership Trap.
What is the third major topic covered in the chapter outline?,The Structural Friction.
What tool is introduced under the 'Diagnostic' section to measure cultural issues?,"The Cultural Debt Audit, a 5-question test."
The chapter describes the 'Waterfall Security Blanket' as the reason we cling to _____ to feel safe.,long-term planning
The 'Fear of Failure' section explains how a '_____-Defect' mindset paralyzes innovation.,Zero
"According to 'The Illusion of Control' section, more bureaucracy does not equal more _____.",safety
What does the acronym HIPPO stand for in the context of 'The HIPPO Effect'?,Highest Paid Person's Opinion.
What phenomenon is described as occurring when the 'Highest Paid Person's Opinion' overrules market data?,The HIPPO Effect.
What does 'The Green Traffic Light Lie' suggest about the nature of status reports?,They are a collective fiction.
What is the name given to the 'Not My Job' phenomenon that blocks collaboration?,The Silo Wars.
What is the mistake identified as 'The Project Trap'?,Funding temporary outputs instead of business outcomes.
"What is the single most important takeaway from the chapter, summarized as 'Culture Eats _____ for Breakfast'?",Transformation
"According to the chapter summary, what feeling do detailed Gantt charts provide, leading to the 'Illusion of Control'?",They make us feel safe.
What is the 'Watermelon Effect'?,The tendency for Waterfall plans to hide risk until just before launch.
"To counter the HIPPO Effect, a digital bank must be led by _____ instead of hierarchy.",evidence
What is presented as the cure for a 'Zero-Defect' mentality?,Psychological Safety.
"In the story of 'The Green Dashboard Lie,' why did the junior developer Maria remain silent about the project's true status?",Her colleague was punished for raising a similar risk previously.
The silence of employees who know the truth but are afraid to speak up is defined as _____.,Cultural Debt
The Waterfall model is based on the flawed assumption that we can know _____ upfront.,everything
"In a bank, the Waterfall model is described as a 'security blanket' because it gives executives the _____ of control.",illusion
"A project delivered using the Waterfall model is often described as 'On Time' and 'On Budget', but '_____'.",Off Value
Cultural Debt in planning is the belief that planning is more important than _____.,learning
What is the main argument of the TSB Bank Migration Meltdown case study?,The Waterfall desire for a 'Big Bang' release is the single most dangerous maneuver in banking.
"In the TSB case study, what was the name of the new system they were migrating to?",Proteo4UK.
What was the direct financial cost of the TSB migration disaster?,£330 million.
How many TSB customers were locked out of their accounts for weeks following the migration disaster?,1.9 million.
What was the key finding from the independent report on the TSB failure?,The program had 'insufficient testing' due to rushing to meet a Waterfall deadline.
What is the Agile alternative to a 'Big Bang' launch for customer migrations?,"An incremental migration (e.g., 1,000 customers, then 10,000, then 100,000)."
"In a traditional bank, the _____ rank wins, whereas in an Agile organization, the best idea wins.",highest
"What is the antithesis of a data-driven culture, as illustrated by the HIPPO Effect?",When hierarchy trumps data.
The cultural shift required to overcome the HIPPO Effect is moving from 'What does the Boss think?' to 'What does the _____ say?',Data
"What was the central, flawed premise of the streaming service Quibi, driven by its founder Jeffrey Katzenberg?",That people wanted high-production Hollywood movies chopped into 10-minute clips.
How long after its launch did Quibi shut down?,Just 6 months.
How much investor capital was burned by the Quibi venture?,$1.75 billion.
What is the 'Bilingual Move' suggested to counter the HIPPO Effect?,"Demand $5,000 worth of market data before approving $1 billion worth of opinion."
"In the 'Innovator's Dilemma' story, what term did the former lab director use to describe how the main bank rejects new code from the lab?",The 'Organ Rejection' problem.
An Innovation Lab is dismissed as 'Transformation Theater' if it fails to do what?,Change the core business or its governance.
"To be effective, an Innovation Lab's primary KPI should be '_____', not 'Number of Prototypes'.",Code Deployed to Production
"According to the 'Bilingual Insight', to whom should an Innovation Lab report to be successful?","Operations or Technology, not Strategy or Marketing."
The 'Zero-Defect' mentality is necessary for Core Banking Operations but paralyzing for _____.,Innovation
A 'Bilingual Executive' must understand the difference between Operational Risk and _____ Risk.,Experimentation
"According to neuroscience, what is the 'lizard brain' part responsible for the fight-or-flight response?",The Amygdala.
"When a culture of fear activates the Amygdala, which part of the brain responsible for creativity and logic gets shut down?",The Prefrontal Cortex.
What is the key insight from the neuroscience of innovation?,You cannot scare people into innovation.
What is the core argument of the Volkswagen 'Dieselgate' Scandal case study?,"When a culture punishes failure, employees will lie rather than innovate."
"In the VW case, why did engineers resort to creating cheating software?",They couldn't meet impossible goals and the culture was one of fear and obedience.
The VW scandal is presented as the ultimate example of the '_____ Light Lie'.,Green
What is the 'Bilingual Move' suggested for preventing the 'Green Light Lie'?,Celebrate the first person who reports a 'Red' status.
"In most banks, leadership has been replaced by _____, creating bureaucracy.",committees
The argument of the Hertz vs. Accenture case study is that massive governance documents create an '_____ of Control'.,Illusion
What was the ultimate outcome of the Hertz vs. Accenture project despite regular Steering Committee meetings and perfect paperwork?,They had perfect paperwork but zero software.
