"In the Meridian Trust case study, what was the name of the traditional bank on the brink of irrelevance?",Meridian Trust.
The case study described Meridian Trust's legacy systems and data swamps as the '_____ Mess'.,Spaghetti Mess
What was the name of Meridian Trust's failed $50M 'Big Bang' transformation attempt?,Project Olympus.
What was the name of the new strategy Sarah proposed after killing Project Olympus?,The Lighthouse Strategy.
What was the specific product chosen for the Lighthouse pilot project at Meridian Trust?,The 'Instant Loan' for Small Business (SME) Lending.
What is the term for protecting a pilot team from the legacy bureaucracy and 'corporate immune system'?,Establishing the Bubble.
The central conflict in the Meridian Trust turnaround was the friction between the Agile Squad and which department?,The Risk Office.
"According to the 'IF YOU REMEMBER NOTHING ELSE' section, transformation is a _____ Act, not just a technical one.",Political
What does the principle 'Kill the Zombies' refer to in the context of digital transformation?,Having the courage to cancel failing projects to free up resources for new initiatives.
What does the principle 'Demo or Die' imply about changing corporate culture?,Working software is far more effective at changing minds than presentations or PowerPoints.
Who was the newly appointed Chief Digital Officer at Meridian Trust responsible for the turnaround?,Sarah.
What reason did the Head of Retail initially give for losing 12% of the youth market share?,He blamed competitors' irrational pricing subsidized by venture capital and central bank rate hikes.
What was Sarah's diagnosis for the loss of market share after her 'mystery shopper' experience?,"The problem was friction in the customer experience, not price."
Concept: The Data Swamp,"A term for a data repository (like a data lake) that is full of data, but nobody trusts or uses it due to poor quality and governance."
"In her Gemba Walk, what did Sarah discover in the 'Credit Risk Reporting Team's' basement office?",An 'Excel Factory' where analysts were manually cleaning and stitching together data from multiple systems.
Who was Ahmed in the Meridian Trust case study?,A Senior Data Analyst who spent three days a month manually creating the risk exposure report using multiple spreadsheets.
Sarah's realization was that Meridian Trust had a _____ problem masquerading as a staffing problem.,Data Governance
What development methodology characterized the failed 'Project Olympus'?,"A classic Waterfall disaster, with months spent on requirements gathering before any delivery."
"As a 'Bilingual Executive', what was Sarah's justification for killing the $50M Project Olympus?",She wanted to stop burning the next $20 million on a failing platform and start building a valuable product.
How long did it take Meridian Trust to approve a small business loan before Sarah's intervention?,Three weeks.
What audacious goal did Sarah promise the board for the 'Instant Loan' pilot?,To issue a loan in under 10 minutes within 90 days.
Who did Sarah select as the Product Owner for the 'Instant Loan' squad?,"Tariq, the Head of SME Sales, who was frustrated with losing deals."
"Who was chosen as the Tech Lead for the Lighthouse squad, known for her deep knowledge of the legacy mainframe?",Maya.
What did it mean for the Lighthouse squad to be in a 'Bubble'?,They were physically moved to a WeWork and exempted from standard corporate processes and bureaucracy to allow them to move quickly.
"Who was David, the Chief Risk Officer (CRO) at Meridian Trust?",A 58-year-old veteran whose main job was to prevent the bank from failing and who was deeply skeptical of Sarah's agile approach.
